region,cs,tweet,lat,lon,language,bucketed_lat,bucketed_lon
c,True, Sila: importante ang araw na to dahil anniv. ng earthquake dito sa Bohol. \n Ako: UAAP Championship.,9.869793,123.838576,Tagalog,9.0,123.0
c,True, May Sarah pa ba? \ud83d \ude01 \ud83d \ude01 \ud83d \ude01 \ud83d \ude4f \ud83d \ude4f,9.882045,123.60128600000002,0,9.0,123.0
c,True, Nxt time wag na ganun. ,9.862463,123.842153,Cebuano,9.0,123.0
c,True, @jinkybelanizo aw hehe,9.949100999999999,123.398955,0,9.0,123.0
c,True, @UN an ounce of prevention is better than a pound of cure METICULOUSLY \n WASHING HANDS CAN PROTECT US FROM ALL FORMS OF DISEASE CAUSING GERMS,9.943805000000001,123.960866,0,9.0,123.0
c,True, Youre the one for me your my fantasy youre the one I NEED. :),10.126669999999999,123.682653,0,10.0,123.0
c,True, Last October 15 '13 nagising ako ng dahil sa yanig ng lupa(lindol). Ngayon dahil maingay sa labas. Required eh! Ano to? New year lang??,9.869793,123.838576,Tagalog,9.0,123.0
c,True, unsaon jud? \ud83d \ude0f \ud83d \ude0f \n Unsay Problema brad? \ud83d \ude1d \n #Selfie#Black&amp;white @ Sembreak \ud83d \ude1d http://t.co/FFVEP78wDy,10.130852,123.68205400000001,Cebuano,10.0,123.0
c,True, Cebu!!! (@ Tubigon Seaport in Bohol Philippines) https://t.co/AV5G7x4nFL,9.952537,123.961983,0,9.0,123.0
c,True, @TheLifeDiaries: I miss how happy I used to be when I was a little kid.,9.869771,123.838517,0,9.0,123.0
c,True, @jinkybelanizo usahay ra uy,9.949100999999999,123.398955,0,9.0,123.0
c,True, ahhhh kalami sa kinilaw. huehuehue guba diet,10.175739,123.721423,Cebuano,10.0,123.0
c,True, # (@ Kawasan Falls in Cebu Philippines) https://t.co/35z8SyZhYn,9.852848,123.419724,0,9.0,123.0
c,True, Sleeping is so hard when you can't stop thinking.,9.869771,123.838517,Cebuano,9.0,123.0
c,True, @theprincessdeee @berzrachel picture,10.204723,123.75071899999999,0,10.0,123.0
c,True, Everything is better when you decide you don't care.,9.869771,123.838517,0,9.0,123.0
c,True, mingawon man sad ta anang nay manghahad ug date. huehue,10.151728,123.69921000000001,0,10.0,123.0
c,True, Parng ewan.. \ud83d \ude02 \ud83d \ude01 \ud83d \ude12,9.882045,123.60128600000002,0,9.0,123.0
c,True, T'was nice seeing you @ecravan gerdygerds! @ USC http://t.co/KSGRGn93Tv,10.058856,123.44197,0,10.0,123.0
c,True, Wala na daw prod.. at baka sa closing andun sya.. \ud83d \ude12 yun na yon..,9.882045,123.60128600000002,Tagalog,9.0,123.0
c,True, Ang kasiyahan na uwi sa tampuhan.,10.05837,123.435645,0,10.0,123.0
c,True, Outfit is love. \ud83d \ude0d \ud83d \ude0d \ud83d \ude0d,9.882045,123.60128600000002,0,9.0,123.0
c,True, taasa sad ani ui... murag naay padulngan... BE POSITIVE... NAA LAGE NI...,10.204723,123.75071899999999,Cebuano,10.0,123.0
c,True, bad zarmie bad! :-( ,9.862463,123.842153,0,9.0,123.0
c,True, That crazy little sun of beach \ud83d \udc8b \ud83d \ude07 \u2693 \ufe0f \ud83d \udea3 \ud83d \udea4 \ud83d \udc20 \ud83d \udc33 \ud83d \udc2c \ud83d \udc0b \ud83c \udf1e \u26c5 \ufe0f \ud83d \udc59 @ Nalusuan Island Resort &amp; Marine Sanctuary \u2026 http://t.co/fabtLlhLKE,10.190875,124.00031100000001,0,10.0,124.0
c,True, Only hope - A Walk to Remember.. \ud83d \ude2d \ud83d \ude2d \ud83d \ude2d,9.882045,123.60128600000002,0,9.0,123.0
c,True, @jinkybelanizo haha. Btaw,9.949102,123.398955,0,9.0,123.0
c,True, @Factsionary no wonder you need to get to the toilet as fast as you can when you have grumpy stomach..to dismiss the bad comtents..,9.943833999999999,123.96086100000001,0,9.0,123.0
c,True, good evening twitter \ud83c \udf09 \ud83c \udf1c \ud83c \udf1d \ud83c \udf14 \ud83c \udf0c \ud83c \udf20 \ud83c \udf1b \ud83c \udf19 \u2b50,10.017286,123.614319,0,10.0,123.0
c,True, Baket parang ang bilis ng ASAP ngayon? \ud83d \ude02 di ko naeenjoy..,9.882045,123.60128600000002,Tagalog,9.0,123.0
c,True, Not normal.. \ud83d \ude0f,9.882045,123.60128600000002,0,9.0,123.0
c,True, \u672c \u65e5 \u306e \u30bb \u30d6 \u30fc(Cebu) \u306e \u6f6e \u6c50 \u60c5 \u5831 \u3067 \u3059 \u3002 \n 00:13 228cm \n 06:53 36cm \n 13:05 184cm \n 18:31 84cm,10.18,123.54,0,10.0,123.0
c,True, On the way home \ud83d \ude99,10.081323,123.455909,0,10.0,123.0
c,True, @God_Loved: Jesus Gives Hope. ,9.882207000000001,123.599828,0,9.0,123.0
c,True, Wiggle... wiggle..! I miss to cuddle this kiddo. He already know how to dance. Time flies so fast \u2026 http://t.co/Hu8blVtygX,10.036408,123.427,0,10.0,123.0
c,True, I can't do it! Well you can but the question is will you?,10.227522,123.763469,0,10.0,123.0
c,True, Stopover sah dw... :)) (@ Carcar City Cebu in Carcar) https://t.co/q91H9RD2pe,10.103577,123.640565,Cebuano,10.0,123.0
c,True, @JemCubil pa followback. \ud83d \ude0a please bitaw ni. schoolmate biya ta. hehe! #teknoy \u270c,10.059289,123.43330300000001,Cebuano,10.0,123.0
c,True, Kung wala lang si sarah ngayon gumagala na ako eh.. \ud83d \ude12 \ud83d \ude12 \ud83d \ude12,9.882045,123.60128600000002,0,9.0,123.0
c,True, Kung gusto mo mangin malipay sa kabuhi mo pagtuon ka panu ma kontento.,9.869793,123.838576,0,9.0,123.0
c,True, My dream is to have a house on the beach even just a little shack somewhere so I can wake up have \u2026 http://t.co/vJb8Th5Ejm,10.190875,124.00031100000001,0,10.0,124.0
c,True, @TheLifeDiaries: Do what is right not what is easy.,9.869771,123.838517,0,9.0,123.0
c,True, Don't let your emotions make your decisions.,9.869771,123.838517,0,9.0,123.0
c,True, @BTS_twt hello namjoonie!,9.949994,123.96396599999999,0,9.0,123.0
c,True, http://t.co/lSkCn8ckso \ud83d \ude02 \ud83d \ude02 \ud83d \ude02,9.882045,123.60128600000002,0,9.0,123.0
c,True, Ooh! My eyebags! Wasn't able to sleep last night. Mga around 3 in the morning na ako nakatulog nagising ng 7. Di kumpleto ang 8 hrs. #antok ,9.869771,123.838517,0,9.0,123.0
c,True, @jinkybelanizo d uy.,9.949100999999999,123.398955,0,9.0,123.0
c,True, @jinkybelanizo btaw. Asa na diay ka ron jinks?,9.949079,123.39887,Cebuano,9.0,123.0
c,True, Sila: imortante ang araw na to dahil anniv. ng lindol dito sa Bohol. \n Ako: UAAP Championship. \ud83c \udf89 \ud83c \udf89,9.869793,123.838576,Tagalog,9.0,123.0
c,True, \u672c \u65e5 \u306e \u30bb \u30d6 \u30fc(Cebu) \u306e \u6f6e \u6c50 \u60c5 \u5831 \u3067 \u3059 \u3002 \n 03:01 112cm \n 09:19 198cm \n 16:10 69cm \n 22:20 171cm,10.18,123.54,0,10.0,123.0
c,True, I hate this feeling of not knowing what you're feeling.,9.869771,123.838517,Cebuano,9.0,123.0
c,True, Oh! It's JungGaHyung time! http://t.co/WIf7lnbZ8S,9.949995,123.963967,0,9.0,123.0
c,True, @jinkybelanizo nagkita mo shaii shaii?,9.949100999999999,123.398955,0,9.0,123.0
c,True, @theresesanchezz pwd sad nako,10.204407000000002,123.750941,0,10.0,123.0
c,True, @jinkybelanizo,9.9491,123.398948,0,9.0,123.0
c,True, bad zarmie bad! ,9.869771,123.838517,0,9.0,123.0
